Words,Tag
lanitra,Anarana
Andriamanitra,Anarana
Rakoto,Anarana
ankizy,Anarana
a,Mpampiankin-teny
afara,Mpampiankin-teny
afarana,Mpampiankin-teny
afenana,Mpampiankin-teny
ako,Mpampiankin-teny
akoatra,Mpampiankin-teny
aloha,Mpampiankin-teny
ambany,Mpampiankin-teny
ambaraka,Mpampiankin-teny
ame,Mpampiankin-teny
amy,Mpampiankin-teny
amina,Mpampiankin-teny
aminy,Mpampiankin-teny
ampahañy,Mpampiankin-teny
ana,Mpampiankin-teny
anaty,Mpampiankin-teny
andoha,Mpampiankin-teny
andraka,Mpampiankin-teny
androña,Mpampiankin-teny
an' i,Mpampiankin-teny
any,Mpampiankin-teny
añilae,Mpampiankin-teny
anilany,Mpampiankin-teny
anketrehana,Mpampiankin-teny
ankira,Mpampiankin-teny
añoloa,Mpampiankin-teny
anovany,Mpampiankin-teny
antalaha,Mpampiankin-teny
antenatena,Mpampiankin-teny
antikitra,Mpampiankin-teny
aovaña,Mpampiankin-teny
araha,Mpampiankin-teny
araka,Mpampiankin-teny
ariary,Mpampiankin-teny
atoa,Mpampiankin-teny
avake,Mpampiankin-teny
aveke,Mpampiankin-teny
darina,Mpampiankin-teny
dofotry,Mpampiankin-teny
dra hô,Mpampiankin-teny
e,Mpampiankin-teny
hapohe,Mpampiankin-teny
hatreny,Mpampiankin-teny
heky,Mpampiankin-teny
hô,Mpampiankin-teny
hoatra,Mpampiankin-teny
intoy,Mpampiankin-teny
iroahe,Mpampiankin-teny
izao tsereke,Mpampiankin-teny
karaha,Mpampiankin-teny
kendry,Mpampiankin-teny
lahatane,Mpampiankin-teny
mampo,Mpampiankin-teny
mandritra,Mpampiankin-teny
mantsy,Mpampiankin-teny
mbara,Mpampiankin-teny
mifañoloha,Mpampiankin-teny
mitraha,Mpampiankin-teny
naho,Mpampiankin-teny
nainay,Mpampiankin-teny
ndra,Mpampiankin-teny
ndraka,Mpampiankin-teny
ndreky,Mpampiankin-teny
ndreo,Mpampiankin-teny
ndreto,Mpampiankin-teny
ohatra,Mpampiankin-teny
rahakoa,Mpampiankin-teny
rôho,Mpampiankin-teny
seky,Mpampiankin-teny
tahàka ny,Mpampiankin-teny
tandrify,Mpampiankin-teny
tanjife,Mpampiankin-teny
toy,Mpampiankin-teny
andeha,Matoantenin'ny mpanao mandidy
madilova,Matoantenin'ny mpanao mandidy
mahabiaza,Matoantenin'ny mpanao mandidy
mahafantara,Matoantenin'ny mpanao mandidy
mahafatesa,Matoantenin'ny mpanao mandidy
mahafoiza,Matoantenin'ny mpanao mandidy
mahaiza,Matoantenin'ny mpanao mandidy
mahajoa,Matoantenin'ny mpanao mandidy
mahalafosa,Matoantenin'ny mpanao mandidy
mahalahelora,Matoantenin'ny mpanao mandidy
mahaleova,Matoantenin'ny mpanao mandidy
mahandroa,Matoantenin'ny mpanao mandidy
mahareta,Matoantenin'ny mpanao mandidy
maharia,Matoantenin'ny mpanao mandidy
mahasoava,Matoantenin'ny mpanao mandidy
mahatanteraha,Matoantenin'ny mpanao mandidy
mahatsiahiva,Matoantenin'ny mpanao mandidy
mahatsiarova,Matoantenin'ny mpanao mandidy
mahazoa,Matoantenin'ny mpanao mandidy
mahefà,Matoantenin'ny mpanao mandidy
mahereza,Matoantenin'ny mpanao mandidy
mahità,Matoantenin'ny mpanao mandidy
mahombiaza,Matoantenin'ny mpanao mandidy
makà,Matoantenin'ny mpanao mandidy
makabiaza,Matoantenin'ny mpanao mandidy
malahelora,Matoantenin'ny mpanao mandidy
malìna,Matoantenin'ny mpanao mandidy
mamabarakeha,Matoantenin'ny mpanao mandidy
mamaboa,Matoantenin'ny mpanao mandidy
mamaboha,Matoantenin'ny mpanao mandidy
mamadia,Matoantenin'ny mpanao mandidy
